NACA 2412                                       
 Alfa =   2.00000 Re =    40000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.45428 -0.03575 -0.12454
   0.46097 -0.03544 -0.12317
   0.46766 -0.03512 -0.12175
   0.47436 -0.03479 -0.12042
   0.48106 -0.03446 -0.11900
   0.48776 -0.03412 -0.11764
   0.49447 -0.03378 -0.11624
   0.50118 -0.03343 -0.11486
   0.50789 -0.03308 -0.11346
   0.51461 -0.03272 -0.11209
   0.52133 -0.03236 -0.11071
   0.52806 -0.03200 -0.10932
   0.53479 -0.03163 -0.10796
   0.54152 -0.03125 -0.10659
   0.54825 -0.03087 -0.10525
   0.55499 -0.03049 -0.10392
   0.56173 -0.03011 -0.10258
   0.56847 -0.02972 -0.10129
   0.57522 -0.02932 -0.09997
   0.58196 -0.02893 -0.09872
   0.58871 -0.02853 -0.09741
   0.59547 -0.02813 -0.09617
   0.60222 -0.02772 -0.09494
   0.60898 -0.02732 -0.09373
   0.61574 -0.02691 -0.09252
   0.62250 -0.02649 -0.09138
   0.62926 -0.02608 -0.09021
   0.63603 -0.02566 -0.08906
   0.64280 -0.02524 -0.08799
   0.64956 -0.02482 -0.08688
   0.65633 -0.02440 -0.08584
   0.66310 -0.02398 -0.08480
   0.66988 -0.02355 -0.08377
   0.67665 -0.02312 -0.08281
   0.68343 -0.02269 -0.08185
   0.69020 -0.02226 -0.08090
   0.69698 -0.02183 -0.07998
   0.70376 -0.02140 -0.07914
   0.71054 -0.02096 -0.07826
   0.71732 -0.02053 -0.07749
   0.72410 -0.02009 -0.07664
   0.73088 -0.01965 -0.07589
   0.73766 -0.01921 -0.07517
   0.74444 -0.01877 -0.07445
   0.75123 -0.01833 -0.07378
   0.75801 -0.01789 -0.07314
   0.76479 -0.01744 -0.07254
   0.77158 -0.01700 -0.07197
   0.77836 -0.01655 -0.07144
   0.78514 -0.01610 -0.07093
   0.79193 -0.01565 -0.07046
   0.79871 -0.01521 -0.07007
   0.80549 -0.01476 -0.06969
   0.81227 -0.01430 -0.06934
   0.81906 -0.01385 -0.06901
   0.82584 -0.01340 -0.06877
   0.83261 -0.01295 -0.06855
   0.83939 -0.01249 -0.06839
   0.84617 -0.01203 -0.06827
   0.85294 -0.01158 -0.06826
   0.85971 -0.01112 -0.06818
   0.86648 -0.01066 -0.06827
   0.87324 -0.01020 -0.06835
   0.87999 -0.00974 -0.06854
   0.88674 -0.00928 -0.06877
   0.89347 -0.00882 -0.06909
   0.90019 -0.00835 -0.06948
   0.90689 -0.00789 -0.07002
   0.91356 -0.00743 -0.07055
   0.92020 -0.00697 -0.07123
   0.92678 -0.00651 -0.07202
   0.93331 -0.00605 -0.07292
   0.93976 -0.00560 -0.07393
   0.94610 -0.00515 -0.07509
   0.95231 -0.00471 -0.07637
   0.95836 -0.00428 -0.07781
   0.96422 -0.00386 -0.07938
   0.96985 -0.00345 -0.08111
   0.97522 -0.00307 -0.08294
   0.98030 -0.00270 -0.08491
   0.98508 -0.00235 -0.08713
   0.98956 -0.00203 -0.08937
   0.99372 -0.00172 -0.09198
   0.99758 -0.00144 -0.09468
   1.00000 -0.00126 -0.09851
