NACA 8204                                       
 Alfa = -10.00000 Re =     4000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.42294  0.05475*********
   0.42829  0.05453*********
   0.43365  0.05431*********
   0.43901  0.05407*********
   0.44437  0.05384*********
   0.44973  0.05360*********
   0.45508  0.05335*********
   0.46044  0.05310*********
   0.46579  0.05285*********
   0.47115  0.05259*********
   0.47651  0.05232*********
   0.48186  0.05205*********
   0.48722  0.05178*********
   0.49257  0.05150*********
   0.49792  0.05121*********
   0.50328  0.05093*********
   0.50863  0.05063*********
   0.51398  0.05033*********
   0.51934  0.05003*********
   0.52469  0.04972*********
   0.53004  0.04940*********
   0.53539  0.04908*********
   0.54074  0.04876*********
   0.54609  0.04842*********
   0.55144  0.04809*********
   0.55679  0.04775*********
   0.56214  0.04740*********
   0.56749  0.04705*********
   0.57284  0.04669*********
   0.57819  0.04633*********
   0.58353  0.04596*********
   0.58888  0.04558*********
   0.59423  0.04520*********
   0.59957  0.04482*********
   0.60492  0.04443*********
   0.61027  0.04403*********
   0.61561  0.04363*********
   0.62095  0.04322*********
   0.62630  0.04281*********
   0.63164  0.04239*********
   0.63698  0.04197*********
   0.64233  0.04154*********
   0.64767  0.04110*********
   0.65301  0.04066*********
   0.65835  0.04022*********
   0.66369  0.03976*********
   0.66903  0.03931*********
   0.67437  0.03884*********
   0.67971  0.03837*********
   0.68505  0.03790*********
   0.69039  0.03742*********
   0.69572  0.03693*********
   0.70106  0.03644*********
   0.70640  0.03594*********
   0.71173  0.03544*********
   0.71707  0.03493*********
   0.72240  0.03441*********
   0.72774  0.03389*********
   0.73307  0.03336*********
   0.73840  0.03283*********
   0.74373  0.03229*********
   0.74907  0.03175*********
   0.75440  0.03120*********
   0.75973  0.03064*********
   0.76506  0.03008*********
   0.77039  0.02951*********
   0.77571  0.02894*********
   0.78104  0.02836*********
   0.78637  0.02778*********
   0.79170  0.02719*********
   0.79702  0.02659*********
   0.80235  0.02599*********
   0.80767  0.02538*********
   0.81300  0.02477*********
   0.81832  0.02415*********
   0.82364  0.02353*********
   0.82896  0.02289*********
   0.83429  0.02226*********
   0.83961  0.02162*********
   0.84493  0.02097*********
   0.85025  0.02032*********
   0.85557  0.01966*********
   0.86088  0.01899*********
   0.86620  0.01832*********
   0.87152  0.01764*********
   0.87683  0.01696*********
   0.88215  0.01628*********
   0.88746  0.01558*********
   0.89278  0.01488*********
   0.89809  0.01418*********
   0.90340  0.01347*********
   0.90872  0.01275*********
   0.91403  0.01203*********
   0.91934  0.01131*********
   0.92465  0.01057*********
   0.92996  0.00984*********
   0.93526  0.00909*********
   0.94057  0.00834*********
   0.94588  0.00759*********
   0.95118  0.00683*********
   0.95649  0.00606*********
   0.96179  0.00529*********
   0.96710  0.00452*********
   0.97240  0.00374*********
   0.97770  0.00295*********
   0.98300  0.00216*********
   0.98829  0.00136*********
   0.99348  0.00058*********
   0.99795 -0.00011*********
   1.00000 -0.00042*********
