#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.83248  0.17350  0.06916  1.23932  0.003103  0.001200  0.011135     2.587
   0.83838  0.16766  0.06834  1.23989  0.003033  0.001175  0.011473     2.581
   0.84424  0.16186  0.06750  1.24047  0.002960  0.001151  0.011879     2.572
   0.85007  0.15609  0.06662  1.24082  0.002889  0.001126  0.012263     2.566
   0.85587  0.15037  0.06570  1.24096  0.002823  0.001102  0.012624     2.561
   0.86163  0.14469  0.06475  1.24111  0.002751  0.001078  0.013063     2.553
   0.86734  0.13906  0.06376  1.24100  0.002683  0.001053  0.013482     2.547
   0.87301  0.13348  0.06274  1.24072  0.002616  0.001029  0.013907     2.542
   0.87863  0.12796  0.06169  1.24024  0.002551  0.001005  0.014327     2.537
   0.88419  0.12251  0.06060  1.23969  0.002483  0.000981  0.014806     2.531
   0.88969  0.11712  0.05948  1.23892  0.002417  0.000957  0.015297     2.526
   0.89512  0.11182  0.05833  1.23791  0.002352  0.000933  0.015784     2.521
   0.90047  0.10660  0.05714  1.23671  0.002287  0.000909  0.016293     2.517
   0.90573  0.10148  0.05594  1.23532  0.002223  0.000885  0.016827     2.512
   0.91089  0.09647  0.05470  1.23379  0.002157  0.000861  0.017437     2.506
   0.91595  0.09157  0.05345  1.23194  0.002093  0.000837  0.018041     2.501
   0.92089  0.08680  0.05218  1.22973  0.002033  0.000814  0.018593     2.498
   0.92570  0.08216  0.05089  1.22740  0.001972  0.000790  0.019217     2.494
   0.93037  0.07767  0.04959  1.22490  0.001909  0.000767  0.019922     2.489
   0.93489  0.07334  0.04829  1.22199  0.001851  0.000745  0.020559     2.486
   0.93926  0.06917  0.04699  1.21897  0.001791  0.000722  0.021316     2.480
   0.94347  0.06518  0.04569  1.21566  0.001732  0.000700  0.022106     2.475
   0.94750  0.06135  0.04440  1.21191  0.001678  0.000679  0.022822     2.472
   0.95137  0.05771  0.04311  1.20799  0.001624  0.000658  0.023590     2.469
   0.95506  0.05424  0.04185  1.20383  0.001571  0.000637  0.024385     2.465
   0.95858  0.05095  0.04060  1.19956  0.001517  0.000617  0.025345     2.458
   0.96193  0.04783  0.03938  1.19481  0.001466  0.000598  0.026257     2.453
   0.96512  0.04488  0.03817  1.18963  0.001420  0.000579  0.027037     2.452
   0.96814  0.04209  0.03699  1.18443  0.001371  0.000561  0.028029     2.446
   0.97102  0.03946  0.03584  1.17894  0.001323  0.000543  0.029136     2.439
   0.97375  0.03697  0.03470  1.17282  0.001281  0.000526  0.030048     2.436
   0.97634  0.03463  0.03360  1.16642  0.001240  0.000509  0.030926     2.434
   0.97880  0.03242  0.03252  1.15996  0.001197  0.000493  0.032047     2.428
   0.98114  0.03033  0.03146  1.15314  0.001155  0.000477  0.033313     2.420
   0.98337  0.02836  0.03042  1.14544  0.001120  0.000463  0.034116     2.420
   0.98549  0.02650  0.02941  1.13790  0.001080  0.000448  0.035404     2.412
